#s	hn	av	tn	taivutus
jytyyttää		C	53	
jytä			10	h
jytäjumppa				
jytämusa				
jytämusiikki				
jytää			99	
jyvittää		C	53	
jyvitys			39	
jyvitysarvo				
jyvä			10	
jyväinen			38	
jyväiskudos				
jyväissolu				
jyväjemmari			6	
jyväluku				
jyvänen			38	
jyvässolu				
jyystää			53	
jähmepiste				
jähmettymä			10	
jähmettyä		C	52	
jähmettää		C	53	
jähmetä			72	
jähmeys			40	
jähmeä			15	
jähmeästi			99	
jäidenlähtö				
jäinen			38	
jäitse			99	
jäkki		A	5	
jäkkärä			12	
jäkälikkö		A	4	
jäkälistö			1	
jäkälä			10	
jäkäläinen			38	
jäkäläkangas		G	41	
jäkälämuru				
jäkäläpeite				
jäkälätyyppi				
jäkälöityä		F	52	
jäkättää		C	53	
jäkätys			39	
jäljekkäin			99	
jäljelle			99	
jäljellä			99	
jäljemmä			99	
jäljemmäksi			99	
jäljemmäs			99	
jäljempänä			99	
jäljempää			99	
jäljenne		J	48	
jäljennys			39	
jäljennös			39	
jäljennöskappale				
jäljentyä		J	52	
jäljentämö			2	
jäljentää		J	54	
jäljessä			99	
jäljestä			99	
jäljestäpäin				
jäljestää			53	
jäljetysten			99	
jäljetön		C	34	
jäljille			99	
jäljillä			99	
jäljiltä			99	
jäljitellä		C	67	
jäljitelmä			10	
jäljittelemätön		C	34	
jäljittely			2	
jäljittää		C	53	
jäljitys			39	
jälkeen			99	
jälkeenjääneisyys			40	
jälkeenjäänyt			47	
jälkeenpäin				
jälkeinen			38	
jälkeläinen			38	
jälki		L	7	
jälkiartikkeli				
jälkiehkäisy				
jälkiehkäisypilleri				
jälkiehkäisytabletti				
jälkihakkuu				
jälkihoito				
jälkihuolto				
jälkihuomautus				
jälkihypnoosi				
jälkihypnoottinen				
jälki-ilmiö				
jälki-ilmoittautua				
jälki-istunta				
jälki-istunto				
jälkijakso				
jälkijoukko				
jälkijuna				
jälkijäristys				
jälkijättöinen			38	
jälkijättöisyys			40	
jälkikaiku				
jälkikaiunta				
jälkikanto		J	1	
jälkikasvi				
jälkikasvu				
jälkikesä				
jälkikirjoitus				
jälkikoira				
jälkikuva				
jälkikypsyttää				
jälkikypsytys				
jälkikypsyä				
jälkikäsittely				
jälkikäteen			99	
jälkikäteinen				
jälkikäteis-				
jälkikäynti				
jälkilaskelma				
jälkilasku				
jälkilause				
jälkiliite				
jälkilypsy				
jälkilämpö				
jälkilöyly				
jälkimaailma				
jälkimaine				
jälkimaininki				
jälkimaku				
jälkimarkkinakelpoinen				
jälkimarkkinat				
jälkimehu				
jälkimmäinen			38	
jälkinäytös				
jälkiosa				
jälkipainos				
jälkipanttaus				
jälkipeli				
jälkipisto				
jälkipoltin				
jälkipoltto				
jälkipolvi				
jälkipuhe				
jälkipuinti				
jälkipuoli				
jälkipuolisko				
jälkipyykki		A	5	
jälkipää				
jälkiruoka				
jälkiruokakastike				
jälkiruokakulho				
jälkiruokalautanen				
jälkiruokalusikka				
jälkiruokamalja				
jälkiruokaviini			5	
jälkisammutus				
jälkisato				
jälkiselostus				
jälkiselvittely				
jälkiseuraus				
jälkisuggestio				
jälkisupistus				
jälkisäteily				
jälkisäädös				
jälkitarkastus				
jälkitauti				
jälkiteollinen				
jälkitila				
jälkituleentua				
jälkiuuni				
jälkiuunileipä				
jälkivaatimus				
jälkivaatimuslähetys				
jälkivaikutelma				
jälkivaikutus				
jälkivarmistus				
jälkiveloitus				
jälkiverotus				
jälkiviisas				
jälkiviisastelu				
jälkiviisaus				
jälkivuoto				
jälkiäänittää				
jälkiäänitys				
jälkkäri			6	
jälleen			99	
jälleenhankinta-arvo				
jälleenkäsittely				
jälleenkäyttö				
jälleenmyyjä				
jälleenmyynti				
jälleenmyyntiarvo				
jälleenmyyntihinta				
jälleennäkeminen			38	
jälleenrakennus				
jälleenrakentaminen				
jälleensyntyminen			38	
jälleenvakuuttaa				
jälleenvakuutus				
jälleenviejä				
jälleenvienti				
jälsi		I	28	
jälsikerros				
jälsisolukko				
jämeryys			40	
jämerä			10	
jämerästi			99	
jämpti			5	
jämptisti			99	
jämtti			5	
jämttisti			99	
jämä			10	
jämähtää		F	53	
jämäkkyys			40	
jämäkkä		A	14	
jämäkästi			99	
jämäköityä		F	52	
jäniksenjälki				
jäniksenkäpälä				
jäniksenliha				
jäniksenpoika				
jäniksenpoikanen				
jänis			39	
jäniseläin				
jänisemo				
jänishousu			1	
jänisjahti		F	5	
jäniskoira				
jäniskäännös				
jänismetsä				
jänispaisti				
jänisrutto				
jänisräikkä				
jänistää			53	
jänkä		G	10	
jänkäsirriäinen			38	
jänne		J	48	
jännebetoni				
jänneheijaste				
jännerefleksi				
jännerepeämä				
jännesaha				
jännetulehdus				
jännetupentulehdus				
jännetuppi				
jänneväli				
jännite		C	48	
jännite-ero				
jännitehäviö				
jännitemittari				
jännitteetön		C	34	
jännitteinen			38	
jännitteisyys			40	
jännittyneisyys			40	
jännittyä		C	52	
jännittäjä			10	
jännittäjätyyppi				
jännittävyys			40	
jännittävä			10	
jännittävästi			99	
jännittää		C	53	
jännitys			39	
jännitys-				
jännityselokuva				
jännitysfilmi				
jännityskertomus				
jännityskirja				
jännitysmomentti				
jännitysnäytelmä				
jännityspäänsärky				
jännitysromaani				
jännityssarja				
jännitystila				
jännä			10	
jännäri			6	
jännästi			99	
jännätä			73	
jänskä			10	
jänskästi			99	
jänteikäs		A	41	
jänteinen			38	
jänteisyys			40	
jäntere			48	
jäntevyys			40	
jäntevä			10	
jäntevästi			99	
jäntevöidä			62	
jäntevöittää		C	53	
jäntevöityä		F	52	
jänteys			40	
jäntterä			10	
jänö			1	
jänöjussi				
jänönen			38	
jänöpupu				
järeys			40	
järeytyä		F	52	
järeä			15	
järeästi			99	
järin			99	
järinä			12	
järistys			39	
järistä			66	
järisyttää		C	53	
järjellinen			38	
järjellisesti			99	
järjellisyys			40	
järjenjuoksu				
järjenlahja				
järjenmukainen				
järjenvastainen				
järjesteillä			99	
järjestellä			67	
järjestelmä			10	
järjestelmäkamera				
järjestelmällinen			38	
järjestelmällisesti			99	
järjestelmällistää			53	
järjestelmällisyys			40	
järjestelmälotto				
järjestelmäveikkaus				
järjestely			2	
järjestelyjuna				
järjestelykoneisto				
järjestelykyky				
järjestelykykyinen				
järjestelyorganisaatio				
järjestelytaito				
järjestelyvara				
järjestyksenpito				
järjestyksenvalvoja				
järjestymätön		C	34	
järjestys			39	
järjestysasia				
järjestyshäiriö				
järjestysluku				
järjestyslukusana				
järjestysmies				
järjestysnumero				
järjestyspartio				
järjestyspoliisi				
järjestyssääntö				
järjestysvalta				
järjestyä			52	
järjestäjä			10	
järjestäytymiskokous				
järjestäytymispakko				
järjestäytymisvapaus				
järjestäytyä		F	52	
järjestää			53	
järjestään			99	
järjestö			2	
järjestödemokratia				
järjestöelämä				
järjestöhöylä				
järjestöihminen				
järjestöjyrä				
järjestölakko				
järjestölehti				
järjestöllinen			38	
järjestösihteeri				
järjestötoiminta				
järjettömyys			40	
järjettömästi			99	
järjetön		C	34	
järkeenkäypä				
järkeenkäyvä				
järkeillä			67	
järkeily			2	
järkeisoppi				
järkeistyä			52	
järkeistää			53	
järkevyys			40	
järkevä			10	
järkevästi			99	
järkevöityä		F	52	
järki		L	7	
järkiavioliitto				
järki-ihminen				
järkiinnyttää		C	53	
järkiintyä		J	52	
järkikulta				
järkimies				
-järkinen			38	
järkiperuste				
järkiperäinen				
järkiperäisesti			99	
järkiperäistyä			52	
järkiperäistää			53	
järkiperäisyys				
järkipuhe				
järkisyy				
järkiään			99	
järkky		A	1	
järkkymättömyys			40	
järkkymättömästi			99	
järkkymätön		C	34	
järkkyä		A	52	
järkyttyä		C	52	
järkyttävyys			40	
järkyttävä			10	
järkyttävästi			99	
järkyttää		C	53	
järkytys			39	
järkähtämättömyys			40	
järkähtämättömästi			99	
järkähtämätön		C	34	
järkähtää		F	53	
järkäle			48	
järkätä		A	73	
järripeippo				
järsiä			61	
järvenjää				
järvenlasku				
järvenpinta				
järvenpohja				
järvenranta				
järvenselkä				
järvi			7	
järviallas				
järvialue				
järvikaisla				
järvikala				
järvikalastus				
järvikorte				
järviliikenne				
järvilohi				
järvimaisema				
järvimalmi				
järvimatkailu				
-järvinen			38	
järvireitti				
järvirikas				
järviruoko				
järviseutu				
järvisieni				
järvisiika				
järvisimpukka				
järvisätkin				
järvitaimen				
järvivene				
järvivesi				
järähdellä		F	67	
järähtely			2	
järähtää		F	53	
järäyttää		C	53	
jäsen			32	
jäsenalennus				
jäsenetu				
jäsenhankinta				
jäsenhinta				
-jäseninen			38	
jäsenistö			1	
jäsenjärjestö				
jäsenkirja				
jäsenkortti				
jäsenkunta				
jäsenlehti				
jäsenluettelo				
jäsenmaa				
jäsenmaksu				
jäsenmerkki				
jäsenmäärä				
jäsennellä		J	67	
jäsennys			39	
jäsenruoho				
jäsenseura				
jäsentarjous				
jäsentely			2	
jäsentenvälinen				
jäsentyä		J	52	
jäsentää		J	54	
jäsenvaltio				
jäsenyhdistys				
jäsenyys			40	
jäsenäänestys				
jässikkä		A	14	
jästipää				
jäte		C	48	
jäteaine				
jäteasema				
jäteastia				
jäteauto				
jätehuolto				
jätehuoltorikkomus				
jätehuoltorikos				
jätekuilu				
jätekuormitus				
jätelaitos				
jätelasi				
jätelauta				
jätelipeä				
jäteliuos				
jätelämpö				
jätemylly				
jätemäki				
jätepaperi				
jätepuristin				
jätepuu				
jätesanko				
jätesäiliö				
jätesäkki				
jätevarasto				
jätevaunu				
jätevaunukaappi				
jätevedenpuhdistamo				
jätevesi				
jätevesikuormitus				
jätevesimaksu				
jäteöljy				
jätkä			10	
jätkänkynttilä				
jätkänšakki				
jätski			5	
jätteenkuljetusauto				
jätteenkäsittely				
jätteenpolttolaitos				
jätti		C	5	
jätti-				
jättikasvu				
jättiläinen			38	
jättiläis-				
jättiläishai				
jättiläiskilpikonna				
jättiläiskokoinen				
jättiläiskäynti				
jättiläiskäärme				
jättiläismenestys				
jättiläismäinen			38	
jättiläistähti				
jättiläisyritys				
jättimenestys				
jättimäinen			38	
jättipotti		C	5	
jättiputki				
jättisipuli				
jättisolu				
jättitankkeri				
jättivatukka				
jättäytyä		F	52	
jättää		C	53	
jättö		C	1	
jättöaika		D	9	
jättöpuu				
jättöpäivä				
jättöreuna				
jätättää		C	53	
jätös			39	
jäyhyys			40	
jäyhä			10	
jäyhästi			99	
jäykentyä		J	52	
jäykentää		J	54	
jäyketä		A	72	
jäykiste			48	
jäykistellä			67	
jäykistely			2	
jäykistymä			10	
jäykistys			39	
jäykistysleikkaus				
jäykistyä			52	
jäykistää			53	
jäykkyys			40	
jäykkä		A	10	
jäykkäkouristus				
jäykkäkouristusbakteeri				
jäykkäkouristusrokotus				
jäykkäliikkeinen				
jäykkäluonteinen				
jäykkäniska				
jäykkäniskainen				
jäykkäpiikkiäes				
jäykästi			99	
jäynä			10	
jäystää			53	
jäytää		F	53	
jää			18	
jääaavikko				
jääaika		D	9	
jääbaletti				
jäädyke		A	48	
jäädyttämö			2	
jäädyttää		C	53	
jäädytys			39	
jäädä			63	
jääeste				
jääetikka				
jäähalli			5	
jäähdyke		A	48	
jäähdyte		C	48	
jäähdytellä		C	67	
jäähdytin		C	33	
-jäähdytteinen			38	
jäähdyttely			2	
jäähdyttäjä			10	
jäähdyttämö			2	
jäähdyttää		C	53	
jäähdytys			39	
jäähdytysilma				
jäähdytysjärjestelmä				
jäähdytyskone				
jäähdytyskoneisto				
jäähdytyslaite				
jäähdytysneste				
jäähdytysvaunu				
jäähelmi				
jäähile				
jäähtyä		F	52	
jäähy			1	
jäähyaitio				
jäähypenkki				
jäähyrangaistus				
jäähyväiset			38	
jäähyväisjuhla				
jäähyväiskonsertti				
jäähyväiskäynti				
jäähyväisnäytäntö				
jäähyväistervehdys				
jäähyväistilaisuus				
jääkaappi				
jääkaappikylmä				
jääkaappimargariini				
jääkaappi-pakastin				
jääkahvi				
jääkaira			9	
jääkalikka				
jääkarhu				
jääkausi				
jääkautinen				
jääkeli				
jääkenttä				
jääkide				
jääkiekko				
jääkiekkoilija				
jääkiekkoilu			2	
jääkiekkojoukkue				
jääkiekkokaukalo				
jääkiekkokenttä				
jääkiekkomaila				
jääkiekko-ottelu				
jääkiekkopeli				
jääkiitäjä				
jääkukka				
jääkuutio				
jääkylmä				
jääkäri			6	
jääkäriliike				
jääkäripataljoona				
jääkäriupseeri				
jäälasi				
jäälauta				
jäälautailu				
jäälautta				
jäälohkare				
jäämaksu				
jäämaksuluokka				
jäämeri				
jäämistö			2	
jäämurska				
jäämä			10	
jäämämaksu				
jäänaskali				
jäänestoaine				
jäänharmaa				
jäänhoitokone				
jäänlähtö				
jäänmuodostus				
jäänmurtaja				
jäänne		J	48	
jäännöksettömästi			99	
jäännöksetön		C	34	
jäännös			39	
jäännöserä				
jäännöskappale				
jäännöslopuke				
jäännöspala				
jäännöspari			5	
jäännösvero				
jäänsininen				
jäänsärkijä				
jäänti		J	5	
jääolot				
jääpala				
jääpalalokerikko				
jääpalapihdit				
jääpalapussi				
jääpallo				
jääpalloilija				
jääpalloilu				
jääpallojoukkue				
jääpallokenttä				
jääpallomaila				
jääpallo-ottelu				
jääpato				
jääpeite				
jääpolte				
jääpuikko				
jääpurjehdus				
jääpussi				
jääpyynti				
jääraappa				
jäärata				
jäärata-ajo				
jääriite				
jääruohokasvi				
jäärä			10	
jääräpäinen				
jääräpäisesti			99	
jääräpäisyys			40	
jääräpää				
jääröykkiö				
jääsalaatti				
jääshow				
jääsohjo				
jäästadion				
jääsumu				
jääsurfaus				
jäätanssi				
jäätee				
jääteitse				
jäätelö			2	
jäätelöannos				
jäätelöbaari			5	
jäätelökakku				
jäätelökauha				
jäätelökioski				
jäätelökoju				
jäätelöleivos				
jäätelöpuikko				
jäätelösooda				
jäätelötikku				
jäätelötorttu				
jäätelötuutti				
jäätelötötterö				
jäätie				
jäätiedotus				
jäätikkö		A	4	
jäätikköinen			38	
jäätiköityä		F	52	
jäätilanne				
jäätuura				
jäätymispiste				
jäätymä			10	
jäätyä		F	52	
jäätävä			10	
jäätävästi			99	
jäätää		F	53	
jääurheilu				
jäävahvisteinen				
jäävahvistettu		C	1	
jäävahvistus				
jäävesi				
jäävi			5	
jää-viileäkaappi				
jäävirta				
jäävitön		C	34	
jääviys			40	
jäävuori			26	
jäävuorisalaatti				
jäävätä			73	
jököttää		C	53	
jörrikkä		A	14	
jörö			1	
jöröjukka		A	10	
jöröttää		C	53	
jössikkä		A	14	
jötikkä		A	14	
jöö			18	h
kaadanta		J	9	
kaadattaa		C	53	
kaade		F	48	
kaadella		F	67	
kaaderi			6	
kaaderijärjestelmä				
kaaderipuolue				
kaadin		F	33	
kaahaaja			10	
kaahailija			12	
kaahailla			67	
kaahailu			2	
kaahari			6	
kaahata			73	
kaahaus			39	
kaakao			3	
kaakaojauhe				
kaakaojuoma				
kaakaolikööri				
kaakaopapu				
kaakaopuu				
kaakaorasva				
kaakaovoi			18	
kaakattaa		C	53	
kaakatus			39	
kaakeli			6	
kaakelilaatta				
kaakelipäällysteinen				
kaakelisavi				
kaakeliseinä				
kaakeliuuni				
kaakeloida			62	
kaakelointi		J	5	
kaakertaa		K	54	
kaakinpuu				
kaakki		A	5	
kaakko		A	1	
kaakkoinen			38	
kaakkoismurteet				
kaakkoismyrsky				
kaakkoisosa				
kaakkoisraja			9	
kaakkoistuuli				
kaakku		A	1	
kaakkuri			6	
kaali			5	
kaalikeitto				
kaalikärpänen				
kaalikääryle				
kaalilaatikko				
kaalimaa				
kaalimato				
kaalinkerä				
kaalinkupu				
kaalinlehti				
kaalintaimi				
kaaliperhonen				
kaalipiirakka				
kaalirapi			5	
kaamea			15	
kaameasti			99	
kaameus			40	
kaamos			39	
kaamosaika		D	9	
kaamosmasennus				
kaanon			6	
kaaoksellinen			38	
kaaos			39	
kaaosmainen			38	
kaaosteoria				
kaaostila				
kaaostutkimus				
kaapaista			66	
kaapata		B	73	
kaapeli			6	
kaapelialus				
kaapelikanava				
kaapelikela				
kaapelikenkä				
kaapelilähetys				
kaapelinmitta				
kaapelitelevisio				
kaapeliverkko				
kaapelivälitteinen				
kaapeloida			62	
kaapia		E	61	
kaapinovi				
kaapisto			2	
kaappaaja			10	
kaappari			6	
kaapparikapteeni				
kaapparilaiva				
kaappaus			39	
kaappausdraama				
kaappaushanke				
kaappausyritys				
kaappi		B	5	
kaappijuoppo				
kaappikello				
kaappipakastin				
kaappisänky				
kaappitarkastus				
kaapu		E	1	
kaaputtaa		C	53	
kaaputus			39	
kaara			9	
kaareke		A	48	
kaareutua		F	52	
kaareva			10	
kaarevasti			99	
kaarevateräinen				
kaarevuus			40	
kaarevuussäde				
kaari	1		26	
kaari	2		26	
kaariaste				
kaarihitsaus				
kaariholvi				
kaari-ikkuna				
kaarikäytävä				
kaarilamppu				
kaarilaukaus				
kaarimalja				
kaariminuutti				
-kaarinen			38	
kaaripallo				
kaaripuu				
kaaripyssy				
kaarisaha				
kaarisekunti				
kaarisilta				
kaarisulje				
kaarisulku				
kaarisulkumerkki				
kaarituki				
kaarituli				
kaariviiva				
kaarna			9	
kaarnakuoriainen				
kaarnalaiva				
kaarnavene				
kaarne			48	
kaarnikka		A	14	
kaarnoittua		C	52	
kaarre		K	48	
kaarrella		K	67	
kaarresäde				
kaarroke		A	48	
kaarros			39	
kaartaa		K	57	
kaarteinen			38	
kaartelu			2	
kaarti			5	
kaartilainen			38	
kaarto		K	1	
kaartoliike				
kaartua		K	52	
kaartuma			10	
kaaso			1	
kaasu			1	
kaasuammus				
kaasuase				
kaasubetoni				
kaasugeneraattori				
kaasuhana				
kaasuhella				
kaasuhitsaus				
kaasujalka				
kaasujohto				
kaasukammio				
kaasukehä				
kaasukeitin				
kaasukello				
kaasukuolio				
kaasulaitos				
kaasulamppu				
kaasuleikkaus				
kaasuliekki				
kaasuliesi				
kaasumainen			38	
kaasumittari				
kaasumoottori				
kaasumyrkytys				
kaasunaamari				
kaasunestejousi				
kaasunestejousitus				
kaasunpaine				
kaasunsytytin				
kaasupistooli				
kaasupoljin				
kaasupullo				
kaasupurkaus				
kaasuputki				
kaasus			39	
kaasuseos				
kaasusota				
kaasusäiliö				
kaasute		C	48	
kaasutella		C	67	
kaasutin		C	33	
kaasutinmoottori				
kaasuttaa		C	53	
kaasuttua		C	52	
kaasuturbiini				
kaasutus			39	
kaasuuntua		J	52	
kaasuvalo				
kaasuöljy				
kaataa		F	57	
kaataja			10	
-kaateinen			38	
kaato		F	1	
kaatoallas				
kaatokänni				
kaatolava				
kaatolupa				
kaatopaikka				
kaatopaikkakaasu				
kaatoreuna				
kaatoryhmä				
kaatosade				
kaatua		F	52	
kaatumatauti				
kaava			9	
kaavaaja			10	
kaavailla			67	
kaavailu			2	
kaavain			33	
kaavake		A	48	
kaavakuva				
kaavamainen			38	
kaavamaisesti			99	
kaavamaistaa			53	
kaavamaisuus			40	
kaavamuutos				
kaavanimi				
kaavanimistö				
kaavanmuutos				
kaavapaperi				
kaavata			73	
kaavaushiekka				
kaaviloida			62	
kaavin		E	33	
kaavinlevy				
kaavinrauta				
kaavinta		J	9	
kaavio			3	
kaavioida			62	
kaaviointi		J	5	
kaaviokuva				
kaaviopiirros				
kaavoittaa		C	53	
kaavoittua		C	52	
kaavoittuma			10	
kaavoittuneisuus			40	
kaavoitus			39	
kaavoitusalue				
kabaree			20	
kabareeohjelma				
kabinetti		C	5	
kabinettihallitus				
kabinettikysymys				
kabinettipolitiikka				
kabotaasi			5	
kabotaasiliikenne				
kade		F	48	
kadehtia		F	61	
kadehtija			12	
kademieli				
kademielinen				
kadenssi			5	
kadesilmä			50	
kadetti		C	5	
kadettikoulu				
kadettikunta				
kadettiupseeri				
kadmium			5	
kadmiumkelta				
kadmiumkeltainen				
kadoksiin			99	
kadoksissa			99	
kadota		F	74	
kadottaa		C	53	
kadotus			39	
kadunkulma				
kadunkulmaus				
kadunlakaisija				
kadunlakaisukone				
kadunmies				
kadunnimi				
kadunpuoleinen				
kadunristeys				
kadunvarsipysäköinti				
kaduttaa		C	53	
kafeteria			12	
kaftaani			6	
kahahdus			39	
kahahtaa		F	53	
kahakka		A	14	
kahakoida			62	
kahakointi		J	5	
kahareisin			99	
kahdeksainen			38	
kahdeksan			10	
kahdeksankertainen				
kahdeksankulmio				
kahdeksankymmenluku				
kahdeksankymmentä				
kahdeksankymmentäluku				
kahdeksankymmentävuotias				
kahdeksankymmenvuotias				
kahdeksannes			39	
kahdeksansataa				
kahdeksantoista				
kahdeksantoistasataa				
kahdeksantoistavuotias				
kahdeksantuhatta				
kahdeksantuntinen				
kahdeksanvuotias				
kahdeksanvuotinen				
